D0772389,angry,2020-12-09 16:00
unknown,happy,2020-12-17 18:45:15.518750
unknown,neutral,2020-12-17 18:45:17.894414
unknown,neutral,2020-12-17 18:45:20.212740
unknown,happy,2020-12-17 18:45:22.865651
johnwu,neutral,2020-12-17 18:46:41.507658
johnwu,neutral,2020-12-17 18:46:43.662920
johnwu,fear,2020-12-17 18:46:45.839035
johnwu,fear,2020-12-17 18:46:48.013742
johnwu,neutral,2020-12-17 18:46:50.253290
johnwu,fear,2020-12-17 18:46:52.492772
johnwu,fear,2020-12-17 18:46:54.768143
johnwu,fear,2020-12-17 18:46:56.995198
johnwu,happy,2020-12-17 18:46:59.169986
unknown,fear,2020-12-17 18:49:36.511089
unknown,happy,2020-12-17 18:49:38.907698
unknown,happy,2020-12-17 18:52:29.729845
unknown,happy,2020-12-17 23:18:00.694784
unknown,happy,2020-12-17 23:18:02.967394
unknown,happy,2020-12-17 23:19:20.163714
unknown,happy,2020-12-17 23:19:22.456697
john851411,happy,2020-12-17 23:19:24.870075
unknown,neutral,2020-12-17 23:22:20.657882
unknown,happy,2020-12-17 23:22:22.667502
unknown,neutral,2020-12-17 23:22:24.672711
unknown,fear,2020-12-17 23:22:26.744133
unknown,neutral,2020-12-17 23:22:28.813790
unknown,neutral,2020-12-17 23:22:30.770550
unknown,neutral,2020-12-17 23:22:32.773327
unknown,happy,2020-12-17 23:56:13.042444
john851411,fear,2020-12-17 23:56:15.490781
unknown,happy,2020-12-17 23:56:17.763982
unknown,happy,2020-12-17 23:56:20.040198
unknown,happy,2020-12-17 23:59:09.995954
unknown,happy,2020-12-17 23:59:12.035926
unknown,happy,2020-12-17 23:59:15.405598
unknown,happy,2020-12-17 23:59:17.293177
unknown,happy,2020-12-17 23:59:19.191611
unknown,happy,2020-12-17 23:59:21.083924
unknown,happy,2020-12-17 23:59:22.985480
unknown,happy,2020-12-17 23:59:24.868716
unknown,happy,2020-12-17 23:59:28.015032
unknown,unknown,2020-12-18 00:18:41.780744
unknown,happy,2020-12-18 00:18:44.027240
unknown,unknown,2020-12-18 00:18:46.264831
unknown,happy,2020-12-18 00:18:48.569956
unknown,neutral,2020-12-18 00:18:48.607654
unknown,happy,2020-12-18 00:18:51.502364
unknown,unknown,2020-12-18 00:21:30.166546
unknown,unknown,2020-12-18 00:21:33.598841
unknown,unknown,2020-12-18 00:21:37.106991
unknown,unknown,2020-12-18 00:21:40.603378
unknown,happy,2020-12-18 00:21:45.887340
johnwu,unknown,2020-12-18 00:21:52.943013
johnwu,unknown,2020-12-18 00:21:56.472134
johnwu,unknown,2020-12-18 00:22:00.019831
unknown,unknown,2020-12-18 00:22:03.802448
unknown,neutral,2020-12-18 00:22:07.880727
unknown,unknown,2020-12-18 00:22:07.911381
johnwu,unknown,2020-12-18 00:22:11.899555
unknown,unknown,2020-12-18 00:22:11.900951
